2.1 Rectangular Column ปริมาณเสาเหลี่ยม,,,,,,,,,,
Base Level,Type,Count,Radius,Width,Depth,Length,Perimeter,Formwork,Area Column,Volume New,Family
,,,,,,,,,,,
Level 2,C08 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C09 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C10 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C11 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C12 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C13 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C14 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C15 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C16 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C17 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C18 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C19 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C20 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C21 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C22 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
Level 2,C23 - 300x1200 mm. (F-3),1,,1200.000,300.000,2.80 m,3000.000,8.40 m²,0.360 m²,1.008 m³,Rectangular Column
